,Title,Author,Genre,Publish Date,Publisher,Format,Illustrator,Total Pages,Rating,Status (Read or Not),MSRP ,Special Edition?,ISBN
122,Dragon Ball Z Vol. 19,Akira Toriyama,Shonen,"April 5th, 2005",VIZ Media LLC,Paperback,Akira Toriyama,179,5.0/5,Yes,$9.99,No,978-1-59116-751-8
123,Dragon Ball Z Vol. 20,Akira Toriyama,Shonen,"May 31st, 2005",VIZ Media LLC,Paperback,Akira Toriyama,177,5.0/5,Yes,$9.99,No,978-1-59116-808-9
124,Dragon Ball Z Vol. 21,Akira Toriyama,Shonen,"August 2nd, 2005",VIZ Media LLC,Paperback,Akira Toriyama,191,3.75/5,Yes,$9.99,No,978-1-59116-873-7
125,Dragon Ball Z Vol. 22,Akira Toriyama,Shonen,"October 10th, 2005",VIZ Media LLC,Paperback,Akira Toriyama,191,5.0/5,Yes,$9.99,No,978-1-4215-0051-5
126,Dragon Ball Z Vol. 23,Akira Toriyama,Shonen,"December 5th, 2005",VIZ Media LLC,Paperback,Akira Toriyama,181,4.5/5,Yes,$9.99,No,978-1-4215-0148-2
127,Dragon Ball Z Vol. 24,Akira Toriyama,Shonen,"February 7th, 2006",VIZ Media LLC,Paperback,Akira Toriyama,181,4.4/5,Yes,$9.99,No,978-1-4215-0273-1
128,Dragon Ball Z Vol. 25,Akira Toriyama,Shonen,"April 4th, 2006",VIZ Media LLC,Paperback,Akira Toriyama,235,4.25/5,Yes,$9.99,No,978-1-4215-0404-9
129,Dragon Ball Z Vol. 26,Akira Toriyama,Shonen,"June 6th, 2006",VIZ Media LLC,Paperback,Akira Toriyama,243,4.5/5,Yes,$9.99,No,978-1-4215-0636-4
130,The Autobiography of Nikola Tesla and Other Works,Nikola Tesla & Thomas Commerford Martin,Autobiography,"December 21st, 2021",Canterbury Classics,Hardcover,N/A,742,,No,$24.99,Leatherbound Costco,978-1-64517-438-7
131,Diary of a Wimpy Kid #1,Jeff Kinney,Comedy,"April 1st, 2007",Amulet Books,Hardcover,Jeff Kinney,217,4.5/5,Yes,$14.99,No,978-1-4197-4185-2
132,Diary of a Wimpy Kid #2: Rodrick Rules,Jeff Kinney,Comedy,"February 1st, 2008",Amulet Books,Hardcover,Jeff Kinney,217,5.0/5,Yes,$14.99,No,978-1-4197-4186-9
133,Diary of a Wimpy Kid #3: The Last Straw,Jeff Kinney,Comedy,"January 1st, 2009",Amulet Books,Hardcover,Jeff Kinney,217,4.75/5,Yes,$13.95,No,978-0-8109-7068-7
134,Diary of a Wimpy Kid #4: Dog Days,Jeff Kinney,Comedy,"October 12th, 2009",Amulet Books,Hardcover,Jeff Kinney,217,3.75/5,Yes,$13.95,No,978-0-8109-8391-5
135,Diary of a Wimpy Kid #5: The Ugly Truth,Jeff Kinney,Comedy,"November 9th, 2010",Amulet Books,Hardcover,Jeff Kinney,217,4.85/5,Yes,$13.95,No,978-0-8109-8491-2
136,Diary of a Wimpy Kid #6: Cabin Fever,Jeff Kinney,Comedy,"November 15th, 2011",Amulet Books,Hardcover,Jeff Kinney,217,5.0/5,Yes,$13.95,No,978-1-4197-0223-5
137,Diary of a Wimpy Kid #7: The Third Wheel ,Jeff Kinney,Comedy,"November 13th, 2012",Amulet Books,Paperback,Jeff Kinney,217,4.0/5,Yes,$8.49,No,978-1-4197-0729-2
138,Diary of a Wimpy Kid #8: Hard Luck,Jeff Kinney,Comedy,"November 5th, 2013",Amulet Books,Paperback,Jeff Kinney,217,3.5/5,Yes,$8.99,No,978-1-4197-1176-3
139,Diary of a Wimpy Kid #9: The Long Haul,Jeff Kinney,Comedy,"November 4th, 2014",Amulet Books,Paperback,Jeff Kinney,217,4.25/5,Yes,$8.99,No,978-1-4197-1499-3
140,Diary of a Wimpy Kid #10: Old School,Jeff Kinney,Comedy,"November 3rd, 2015",Amulet Books,Paperback,Jeff Kinney,217,4.0/5,Yes,$8.99,No,978-1-4197-1961-5
141,Diary of a Wimpy Kid #11: Double Down,Jeff Kinney,Comedy,"November 1st, 2016",Amulet Books,Paperback,Jeff Kinney,217,,No,$8.99,No,978-1-4197-2486-2
142,Diary of a Wimpy Kid #12: The Getaway,Jeff Kinney,Comedy,"November 7th, 2017",Amulet Books,Hardcover,Jeff Kinney,217,,No,$13.95,No,978-1-4197-2545-6
143,Diary of a Wimpy Kid #13: The Meltdown,Jeff Kinney,Comedy,"October 30th, 2018",Amulet Books,Hardcover,Jeff Kinney,217,,No,$13.95,No,978-1-4197-2743-6
144,Diary of a Wimpy Kid #14: Wrecking Ball,Jeff Kinney,Comedy,"November 5th, 2019",Amulet Books,Hardcover,Jeff Kinney,217,,No,$14.99,No,978-1-4197-3903-3
145,Diary of a Wimpy Kid #15: The Deep End ,Jeff Kinney,Comedy,"October 27th, 2020",Amulet Books,Hardcover,Jeff Kinney,217,,No,$14.99,No,978-1-4197-4868-4
146,Diary of a Wimpy Kid #16: Big Shot,Jeff Kinney,Comedy,"October 26th, 2021",Amulet Books,Hardcover,Jeff Kinney,217,,No,$14.99,No,978-1-4197-4915-5
147,The Wimpy Kid Movie Diary,Jeff Kinney,Comedy,"March 16th, 2010",Amulet Books,Paperback,Jeff Kinney,199,3.8/5,Yes,$7.99,No,978-0-8109-9684-7
148,The Wimpy Kid Movie Diary: The Next Chapter,Jeff Kinney,Comedy,"May 9th, 2017 ",Amulet Books,Hardcover,Jeff Kinney,199,,No,$16.95,No,978-1-4197-2752-8
149,Diary of a Wimpy Kid: Special Cheesiest Edition,Jeff Kinney,Comedy,"August 8th, 2017",Amulet Books,Hardcover,Jeff Kinney,217,,No,$16.95,Special Cheesiest Edition,978-1-4197-2945-4
150,The Wimpy Kid Do-It-Yourself Book,Jeff Kinney,Comedy,"May 10th, 2011",Amulet Books,Hardcover,Jeff Kinney,217,4.0/5,Yes,$14.99,No,978-1-4197-4190-6
151,Diary of a Wimpy Kid (Special Disney+ Cover Edition) ,Jeff Kinney,Comedy,"November 23rd, 2021",Amulet Books,Hardcover,Jeff Kinney,217,,No,$14.99,Special Disney+ Cover Edition,978-1-4197-6110-2
152,Rowley Jefferson's Awesome Friendly Spooky Stories,Jeff Kinney,Comedy,"March 16th, 2021",Amulet Books,Hardcover,Jeff Kinney,217,,No,$14.99,No,978-1-4197-5697-9
153,Rowley Jefferson's Awesome Friendly Adventure,Jeff Kinney,Comedy,"August 4th, 2020",Amulet Books,Hardcover,Jeff Kinney,217,,No,$14.99,No,978-1-4197-4909-4
154,Diary of an Awesome Friendly Kid: Rowley Jefferson's Journal,Jeff Kinney,Comedy,"April 9th, 2019",Amulet Books,Hardcover,Jeff Kinney,217,,No,$13.99,No,978-1-4197-4027-5
155,Bluford High Series #1: Lost and Found,Anne Schraff ,Young Adult/Teen Fiction,"September 30th, 2001 ",Townsend Press,Paperback,N/A,133,,Need To Reread,$4.95,No,978-0-944210-02-4
156,Bluford High Series #2: A Matter of Trust ,Anne Schraff ,Young Adult/Teen Fiction,"November 30th, 2002",Townsend Press,Paperback,N/A,125,,Need To Reread,$4.95,No,978-0-944210-03-1
157,Bluford High Series #3: Secrets in the Shadows,Anne Schraff ,Young Adult/Teen Fiction,"November 30th, 2001",Townsend Press,Paperback,N/A,126,,Need To Reread,$4.95,No,978-0-44210-05-5
158,Bluford High Series #4: Someone to Love Me ,Anne Schraff ,Young Adult/Teen Fiction,"January 1st, 2002 ",Townsend Press,Paperback,N/A,162,,Need To Reread,$4.95,No,978-0-944210-06-2
159,Bluford High Series #5: The Bully ,Paul Langan,Young Adult/Teen Fiction,"January 6th, 2002",Townsend Press,Paperback,N/A,190,,Need To Reread,$4.95,No,978-0-944210-00-0
160,Bluford High Series #6: The Gun,Paul Langan,Young Adult/Teen Fiction,"December 31st, 2002",Townsend Press,Paperback,N/A,123,,Need To Reread,$4.95,No,978-0-944210-04-8
161,Bluford High Series #7: Until We Meet Again,Anne Schraff ,Young Adult/Teen Fiction,"December 31st, 2002",Townsend Press,Paperback,N/A,144,,Need To Reread,$4.95,No,978-0-944210-07-9
162,Bluford High Series #8: Blood Is Thicker,Paul Langan & D.M. Blackwell,Young Adult/Teen Fiction,"May 31st, 2008",Townsend Press,Paperback,N/A,156,,Need To Reread,$4.95,No,978-1-59194-016-6
163,Bluford High Series #9: Brothers in Arms,Paul Langan & Ben Alirez,Young Adult/Teen Fiction,"December 31st, 2004",Townsend Press,Paperback,N/A,152,,Need To Reread,$4.95,No,978-1-59194-017-3
164,Bluford High Series #10: Summer of Secrets,Paul Langan,Young Adult/Teen Fiction,"June 1st, 2004",Townsend Press,Paperback,N/A,142,,Need To Reread,$4.95,No,978-1-59194-018-0
165,Bluford High Series #11: The Fallen,Paul Langan,Young Adult/Teen Fiction,"June 14th, 2006",Townsend Press,Paperback,N/A,133,,Need To Reread,$4.95,No,978-1-59194-066-1
166,Bluford High Series #12: Shattered,Paul Langan ,Young Adult/Teen Fiction,"June 1st, 2006",Townsend Press,Paperback,N/A,123,,Need To Reread,$4.95,No,978-1-59194-069-2
167,Bluford High Series #13: Search for Safety ,John Langan,Young Adult/Teen Fiction,"June 15th, 2006",Townsend Press,Paperback,N/A,128,,Need To Reread,$4.95,No,978-1-59194-070-8
168,Bluford High Series #14: No Way Out,Peggy Kern,Young Adult/Teen Fiction,"September 22nd, 2008",Townsend Press,Paperback,N/A,140,,Need To Reread,$4.95,No,978-1-59194-176-8
169,Bluford High Series #15: Schooled,Paul Langan,Young Adult/Teen Fiction,"September 21st, 2008",Townsend Press,Paperback,N/A,140,,Need To Reread,$4.95,No,978-1-59194-177-6
170,Bluford High Series #16: Breaking Point,Karyn Langhorne Folan & Paul Langan,Young Adult/Teen Fiction,"December 15th, 2010",Townsend Press,Paperback,N/A,150,,Need To Reread,$4.95,No,978-1-59194-232-2
171,Bluford High Series #17: The Test,Peggy Kern,Young Adult/Teen Fiction,"January 1st, 2010",Townsend Press,Paperback,N/A,139,,Need To Reread,$4.95,No,978-1-59194-234-4
172,Bluford High Series #18: Pretty Ugly ,Karyn Langhorne Folan  ,Young Adult/Teen Fiction,"December 14th, 2010",Townsend Press,Paperback,N/A,171,,Need To Reread,$4.95,No,978-1-59194-233-7
173,Bluford High Series #19: Promises To Keep ,Paul Langan,Young Adult/Teen Fiction,"December 31st, 2013",Townsend Press,Paperback,N/A,151,,Need To Reread,$5.95,No,978-1-59194-303-7
174,Bluford High Series #20: Survivor ,Paul Langan ,Young Adult/Teen Fiction,"January 1st, 2013",Townsend Press,Paperback,N/A,138,,Need To Reread,$5.95,No,978-1-59194-304-4
175,Bluford High Series #21: Girl Like Me,Tanya Savory ,Young Adult/Teen Fiction,"November 16th, 2015 ",Townsend Press,Paperback,N/A,129,,Need To Reread,$5.95,No,978-1-59194-470-8
176,Bluford High Series #22: The Chosen ,Karyn Langhorne Folan & Paul Langan,Young Adult/Teen Fiction,"August 31st, 2020",Townsend Press,Paperback,N/A,147,,Need To Reread,$5.95,No,978-1-59194-576-5
177,Avatar The Last Airbender: The Rise of Kyoshi ,F.C. Yee & Michael Dante DiMartino,Fantasy,"July 16th, 2019 ",Amulet Books,Hardcover,N/A,442,,No,$18.99,No,978-1-4197-3504-2
178,Avatar The Last Airbender: The Shadow of Kyoshi,F.C. Yee & Michael Dante DiMartino,Fantasy,"July 21st, 2020",Amulet Books,Hardcover,N/A,341,,No,$18.99,No,978-1-4197-3505-9
179,Avatar The Last Airbender - The Lost Scrolls: Water,Michael Teitelbaum ,Fantasy ,"January 1st, 2007 ",Scholastic ,Paperback,Patrick Spaziante,64,3.0/5,Yes,$4.99,No,978-0-439-87011-5
180,Avatar The Last Airbender - The Lost Scrolls: Earth,Michael Teitelbaum ,Fantasy,"January 23rd, 2007 ",Simon Spotlight/Nickelodeon,Paperback,Shane L. Johnson,64,3.0/5,Yes,$4.99,No,978-1-4169-1877-6
181,Avatar The Last Airbender - The Lost Scrolls: Fire,Tom Mason & Dan Danko ,Fantasy,"January 1st, 2007 ",Simon Spotlight/Nickelodeon,Paperback,Patrick Spaziante,64,3.0/5,Yes,$4.99,No,978-0-439-87012-2
182,Avatar The Last Airbender - The Lost Scrolls: Air,Tom Mason & Dan Danko ,Fantasy,"January 23rd, 2007 ",Scholastic ,Paperback,Shane L. Johnson ,64,3.0/5,Yes,$4.99,No,978-1-4169-1879-0
183,Avatar The Last Airbender: Smoke And Shadow,Bryan Konietzko & Michael Dante DiMartino ,Graphic Novel,"October 5th, 2021",Dark Horse Books,Paperback,Gurihiru,232,,No,$24.99,Omnibus,978-1-50672-168-2
184,"Avatar The Last Airbender: Suki, Alone",Faith Erin Hicks,Graphic Novel,"July 27th, 2021 ",Dark Horse Books,Paperback,Peter Wartman & Adele Matera,76,,No,$12.99,No,978-1-50671-713-5
185,Avatar The Last Airbender: Toph Beifong's Metalbending Academy,Faith Erin Hicks,Graphic Novel,"February 16th, 2021",Dark Horse Books,Paperback,Peter Wartman & Adele Matera,77,,No,$12.99,No,978-1-50671-712-8
186,Avatar The Last Airbender: Katara and the Pirate's Silver,Faith Erin Hicks,Graphic Novel,"October 13th, 2020",Dark Horse Books,Paperback,Peter Wartman & Adele Matera,77,,No,$12.99,No,978-1-50671-711-1
187,The Legend of Korra: Turf Wars,Bryan Konietzko & Michael Dante DiMartino ,Graphic Novel,"March 26th, 2019 ",Dark Horse Books,Hardcover,Irene Koh & Vivian Ng,239,,No,$39.99,Library Edition,978-1-50670-202-5
188,The Legend of Korra: Ruins of the Empire,Bryan Konietzko & Michael Dante DiMartino ,Graphic Novel,"September 29th, 2020",Dark Horse Books,Hardcover,Michelle & Killian Ng ,239,,No,$39.99,Library Edition,978-1-50670-893-5
189,Avatar The Last Airbender: North And South,Bryan Konietzko & Michael Dante DiMartino & Gene Luen Yang ,Graphic Novel,"November 7th, 2017",Dark Horse Books,Hardcover,Gurihiru,236,,No,$39.99,Library Edition ,978-1-50670-195-0
190,Avatar The Last Airbender: Imbalance,Bryan Konietzko & Michael Dante DiMartino & Faith Erin Hicks,Graphic Novel,"June 16th, 2020",Dark Horse Books,Hardcover,Peter Wartman & Adele Matera,236,,No,$39.99,Library Edition ,978-1-50670-812-6
191,Avatar The Last Airbender: The Lost Adventures | Team Avatar Tales,Gene Luen Yang & Faith Erin Hicks ,Graphic Novel,"November 10th, 2020 ",Dark Horse Books,Hardcover,Sarah Goetter & Gurihiru ,309,,No,$39.99,Library Edition ,978-1-50672-274-0
192,Avatar The Last Airbender: The Search,Bryan Konietzko & Michael Dante DiMartino & Gene Luen Yang ,Graphic Novel,"February 18th, 2014",Dark Horse Books,Hardcover,Gurihiru,238,,No,$39.99,Hardcover Collection,978-1-61655-226-8
193,Avatar The Last Airbender: The Promise,Bryan Konietzko & Michael Dante DiMartino & Gene Luen Yang,Graphic Novel,"February 19th, 2013 ",Dark Horse Books,Hardcover,Gurihiru,238,,No,$39.99,Hardcover Collection,978-1-61655-074-5
194,Avatar The Last Airbender: The Rift ,Bryan Konietzko & Michael Dante DiMartino & Gene Luen Yang,Graphic Novel,"February 11th, 2015",Dark Horse Books,Hardcover,Gurihiru,238,,No,$39.99,Hardcover Collection,978-1-61655-550-4
195,Fantastic Beasts & Where to Find Them ,J.K. Rowling ,Fantasy ,"March 14th, 2017 ",Scholastic ,Paperback ,N/A,88,,No,$12.99,No,978-1-338-13231-1
196,The Unofficial Harry Potter Character Compendium: MuggleNet's Ultimate Guide To Who's Who In The Wizarding World ,The Editors of MuggleNet,Compendium,"June 23rd, 2020 ",Media Lab Books,Hardcover,N/A,334,,No,$16.99,No,978-1-948174-44-2
197,Harry Potter and the Chamber of Secrets,J.K. Rowling ,Fantasy,"September 1st, 2000",Scholastic ,Paperback,N/A,341,3.0/5,Yes,$6.99,No,0-439-06487-2
198,Harry Potter and the Chamber of Secrets,J.K. Rowling ,Fantasy ,"August 27th, 2013 ",Scholastic ,Hardcover,N/A,341,3.0/5,Yes,$8.99,No,978-0-329-97856-9
199,Harry Potter and the Deathly Hallows,J.K. Rowling ,Fantasy,"August 1st, 2007 ",Scholastic ,Hardcover,N/A,759,5.0/5,Yes,$34.99,No,978-0-545-01022-1
200,Harry Potter and the Half-Blood Prince ,J.K. Rowling,Fantasy,"August 1st, 2005",Scholastic ,Hardcover,N/A,652,4.8/5,Yes,$29.99,No,978-0-439-78454-2
201,Harry Potter and the Half-Blood Prince ,J.K. Rowling,Fantasy,"August 1st, 2005",Scholastic ,Hardcover,N/A,652,4.8/5,Yes,$29.99,No,978-0-439-78454-2
202,Harry Potter and the Sorcerer's  Stone,J.K. Rowling,Fantasy,"October 1st, 1998",Scholastic ,Hardcover,N/A,309,3.75/5,Yes,$26.99,No,978-0-590-35340-3
203,Harry Potter and the Chamber of Secrets,J.K. Rowling,Fantasy,"July 1st, 1999",Scholastic ,Hardcover,N/A,341,3.0/5,Yes,$26.99,No,978-0-439-06486-6
204,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,Fantasy,"October 1st, 1999",Scholastic ,Hardcover,N/A,435,4.15/5,Yes,$19.95,No,0-439-13635-0
205,Harry Potter and the Goblet of Fire,J.K. Rowling,Fantasy,"August 1st, 2000",Scholastic,Hardcover,N/A,734,3.25/5,Yes,$29.99,No,978-0-439-13959-5
206,Harry Potter and the Order of the Phoenix,J.K. Rowling,Fantasy,"July 1st, 2003 ",Scholastic,Hardcover,N/A,870,4.0/5,Yes,$29.99,No,978-0-439-35806-4
207,Harry Potter and the Half-Blood Prince ,J.K. Rowling,Fantasy,"August 1st, 2005",Scholastic,Hardcover,N/A,652,4.8/5,Yes,$29.99,No,978-0-439-78454-2
208,Harry Potter and the Deathly Hallows,J.K. Rowling,Fantasy,"August 1st, 2007 ",Scholastic,Hardcover,N/A,759,5.0/5,Yes,$34.99,No,978-0-545-01022-1
209,The Heroes of Olympus: The Son of Neptune ,Rick Riordan,Graphic Novel,"February 21st, 2017",Disney-Hyperion,Paperback,Robert Venditti & Antoine Dodé & Orpheus Collar,192,4.0/5,Yes,$12.99,No,978-148472303-6
210,The Heroes of Olympus: The Lost Hero,Rick Riordan,Graphic Novel,"October 7th, 2014",Disney-Hyperion,Paperback,Robert Venditti & Nate Powell & Orpheus Collar,192,3.5/5,Yes,$12.99,No,978-142316325-1
211,The Kane Chronicles: The Serpent's Shadow,Rick Riordan,Graphic Novel,"October 3rd, 2017",Disney-Hyperion,Paperback,Orpheus Collar ,160,4.5/5,Yes,$12.99,No,978-148478234-7
212,The Kane Chronicles: The Throne of Fire,Rick Riordan,Graphic Novel,"October 6th, 2015",Disney-Hyperion,Paperback,Orpheus Collar ,160,3.75/5,Yes,$12.99,No,978-148471493-5
213,The Kane Chronicles: The Red Pyramid,Rick Riordan,Graphic Novel,"October 2nd, 2012",Disney-Hyperion,Paperback,Orpheus Collar ,192,4.25/5,Yes,$12.99,No,978-142315069-5
214,Percy Jackson & The Olympians: The Last Olympian,Rick Riordan,Graphic Novel,"August 13th, 2019",Disney-Hyperion,Paperback,Robert Venditti & Antoine Dodé & Orpheus Collar,128,4.0/5,Yes,$12.99,No,978-148478638-3
215,Percy Jackson & The Olympians: The Battle of the Labyrinth,Rick Riordan,Graphic Novel,"October 2nd, 2018",Disney-Hyperion,Paperback,Robert Venditti & Antoine Dodé & Orpheus Collar,128,3.75/5,Yes,$12.99,No,978-148-478639-0
216,Percy Jackson & The Olympians: The Titan's Curse,Rick Riordan,Graphic Novel,"October 8th, 2013",Disney-Hyperion,Paperback,Robert Venditti & Attila Futaki & Greg Guilahaumond,128,4.0/5,Yes,$12.99,No,978-142314551-6
217,Percy Jackson & The Olympians: The Sea of Monsters,Rick Riordan,Graphic Novel,"July 2nd, 2013",Disney-Hyperion,Paperback,Robert Venditti & Attila Futaki & Tamás Gáspár,128,2.85/5,Yes,$12.99,No,978-142314550-9
218,Percy Jackson & The Olympians: The Lightning Thief,Rick Riordan,Graphic Novel,"October 12th, 2010",Disney-Hyperion,Paperback,Robert Venditti & Attila Futaki & José Villarrubia,128,3.25/5,Yes,$12.99,No,978-142311710-0
219,Percy Jackson & The Olympians: The Last Olympian,Rick Riordan,Fantasy/Adventure,"May 5th, 2009",Disney-Hyperion,Hardcover,N/A,381,5.0/5,Yes,$17.99,First Cover Mass-Printed Hardcover Edition,978-142310147-5
220,Percy Jackson & The Olympians: The Battle of the Labyrinth,Rick Riordan,Fantasy/Adventure,"May 6th, 2008",Disney-Hyperion,Hardcover,N/A,361,4.75/5,Yes,$17.99,First Cover Mass-Printed Hardcover Edition,978-142310146-8
221,Percy Jackson & The Olympians: The Titan's Curse,Rick Riordan,Fantasy/Adventure,"May 1st, 2007",Miramax Books,Hardcover,N/A,312,5.0/5,Yes,$17.95,First Cover Mass-Printed Hardcover Edition,978-142310145-1
222,Percy Jackson & The Olympians: The Sea of Monsters,Rick Riordan,Fantasy/Adventure,"April 1st, 2007",Miramax Books,Hardcover,N/A,279,3.5/5,Yes,$17.95,First Cover Mass-Printed Hardcover Edition,078685686-6
223,Percy Jackson & The Olympians: The Lightning Thief,Rick Riordan,Fantasy/Adventure,"July 1st, 2005",Miramax,Hardcover,N/A,377,4.0/5,Yes,$17.95,First Cover Mass-Printed Hardcover Edition,978-078685629-9
224,Percy Jackson & The Olympians: The Last Olympian,Rick Riordan,Fantasy/Adventure,"May 5th, 2009",Disney-Hyperion,Paperback,N/A,381,5.0/5,Yes,$7.99,First Cover Mass-Printed Paperback Edition,978-142310150-5
225,Percy Jackson & The Olympians: The Battle of the Labyrinth,Rick Riordan,Fantasy/Adventure,"May 6th, 2008",Disney-Hyperion,Paperback,N/A,361,4.75/5,Yes,$7.99,First Cover Mass-Printed Paperback Edition,978-142310149-9
226,Percy Jackson & The Olympians: The Titan's Curse,Rick Riordan,Fantasy/Adventure,"May 1st, 2007",Disney-Hyperion,Paperback,N/A,312,5.0/5,Yes,$7.99,First Cover Mass-Printed Paperback Edition,978-142310148-2
227,Percy Jackson & The Olympians: The Sea of Monsters,Rick Riordan,Fantasy/Adventure,"April 1st, 2007",Scholastic ,Paperback,N/A,279,3.5/5,Yes,$4.99,First Cover Mass-Printed Paperback Edition,978-0-439-02702-1
228,Percy Jackson & The Olympians: The Lightning Thief,Rick Riordan,Fantasy/Adventure,"April 1st, 2006",Disney-Hyperion,Paperback,N/A,377,4.0/5,Yes,$7.99,First Cover Mass-Printed Paperback Edition,078682865-5
